target,molecule,pchembl
CHEMBL4145,CHEMBL98,6.97
CHEMBL4145,CHEMBL98,5.7
CHEMBL4145,CHEMBL356769,5.2
CHEMBL4145,CHEMBL98,6.97
CHEMBL4145,CHEMBL98,5.7
CHEMBL4145,CHEMBL356769,5.2
CHEMBL4145,CHEMBL98,6.97
CHEMBL4145,CHEMBL98,5.7
CHEMBL4145,CHEMBL356769,5.2
CHEMBL3310,CHEMBL99,7.82
CHEMBL3310,CHEMBL272980,6.23
CHEMBL4145,CHEMBL98,6.97
CHEMBL4145,CHEMBL98,5.7
CHEMBL4145,CHEMBL356769,5.2
CHEMBL3310,CHEMBL99,7.82
CHEMBL3310,CHEMBL272980,6.23
CHEMBL4145,CHEMBL98,6.97
CHEMBL4145,CHEMBL98,5.7
CHEMBL4145,CHEMBL356769,5.2
CHEMBL3310,CHEMBL99,7.82
CHEMBL3310,CHEMBL272980,6.23
CHEMBL4145,CHEMBL98,6.97
CHEMBL4145,CHEMBL98,5.7
CHEMBL4145,CHEMBL356769,5.2
CHEMBL3310,CHEMBL99,7.82
CHEMBL3310,CHEMBL272980,6.23
CHEMBL3524,CHEMBL1213490,6.29
CHEMBL3524,CHEMBL99,6
CHEMBL4145,CHEMBL98,6.97
CHEMBL4145,CHEMBL98,5.7
CHEMBL4145,CHEMBL356769,5.2
CHEMBL3310,CHEMBL99,7.82
CHEMBL3310,CHEMBL272980,6.23
CHEMBL3524,CHEMBL1213490,6.29
CHEMBL3524,CHEMBL99,6
CHEMBL1829,CHEMBL356066,8.05
CHEMBL4145,CHEMBL98,6.97
CHEMBL4145,CHEMBL98,5.7
CHEMBL4145,CHEMBL356769,5.2
CHEMBL3310,CHEMBL99,7.82
CHEMBL3310,CHEMBL272980,6.23
CHEMBL3524,CHEMBL1213490,6.29
CHEMBL3524,CHEMBL99,6
CHEMBL1829,CHEMBL356066,8.05
CHEMBL3192,CHEMBL98,6.54
CHEMBL3192,CHEMBL99,7.4
CHEMBL4145,CHEMBL98,6.97
CHEMBL4145,CHEMBL98,5.7
CHEMBL4145,CHEMBL356769,5.2
CHEMBL3310,CHEMBL99,7.82
CHEMBL3310,CHEMBL272980,6.23
CHEMBL3524,CHEMBL1213490,6.29
CHEMBL3524,CHEMBL99,6
CHEMBL1829,CHEMBL356066,8.05
CHEMBL3192,CHEMBL98,6.54
CHEMBL3192,CHEMBL99,7.4
CHEMBL1865,CHEMBL1213490,4.85
CHEMBL1865,CHEMBL356769,5.54
CHEMBL4145,CHEMBL98,6.97
CHEMBL4145,CHEMBL98,5.7
CHEMBL4145,CHEMBL356769,5.2
CHEMBL3310,CHEMBL99,7.82
CHEMBL3310,CHEMBL272980,6.23
CHEMBL3524,CHEMBL1213490,6.29
CHEMBL3524,CHEMBL99,6
CHEMBL1829,CHEMBL356066,8.05
CHEMBL3192,CHEMBL98,6.54
CHEMBL3192,CHEMBL99,7.4
CHEMBL1865,CHEMBL1213490,4.85
CHEMBL1865,CHEMBL356769,5.54
CHEMBL1937,CHEMBL1213490,7.33
CHEMBL1937,CHEMBL98,7.14
CHEMBL1937,CHEMBL99,7.41
CHEMBL4145,CHEMBL98,6.97
CHEMBL4145,CHEMBL98,5.7
CHEMBL4145,CHEMBL356769,5.2
CHEMBL3310,CHEMBL99,7.82
CHEMBL3310,CHEMBL272980,6.23
CHEMBL3524,CHEMBL1213490,6.29
CHEMBL3524,CHEMBL99,6
CHEMBL1829,CHEMBL356066,8.05
CHEMBL3192,CHEMBL98,6.54
CHEMBL3192,CHEMBL99,7.4
CHEMBL1865,CHEMBL1213490,4.85
CHEMBL1865,CHEMBL356769,5.54
CHEMBL1937,CHEMBL1213490,7.33
CHEMBL1937,CHEMBL98,7.14
CHEMBL1937,CHEMBL99,7.41
CHEMBL325,CHEMBL98,6.7
